Player,Roster Position,%Drafted,FPTS
Giannis Antetokounmpo,T1,65.22%,58.25
De'Aaron Fox,T3,65.22%,38.5
Domantas Sabonis,T2,47.83%,51.0
Jarrett Allen,T5,39.13%,24.75
Jeremy Sochan,T6,39.13%,28.0
Jalen Green,T5,34.78%,19.0
Clint Capela,T6,30.43%,37.75
Joel Embiid,T1,26.09%,56.0
Dejounte Murray,T4,26.09%,23.75
Evan Mobley,T4,26.09%,48.75
Trae Young,T2,21.74%,35.5
Kevin Porter Jr.,T4,21.74%,28.0
Anthony Edwards,T2,17.39%,43.0
Zach Collins,T5,17.39%,39.0
Donovan Mitchell,T2,13.04%,36.25
Jimmy Butler,T3,13.04%,44.25
Bam Adebayo,T3,13.04%,57.75
Alperen Sengun,T4,13.04%,36.5
Tyler Herro,T4,13.04%,34.5
Mike Conley,T6,13.04%,34.25
James Harden,T1,8.70%,69.25
Darius Garland,T3,8.70%,40.75
Bobby Portis,T5,8.70%,13.75
KJ Martin,T6,4.35%,34.75
Jaden Ivey,T6,4.35%,16.0
Kyle Anderson,T6,4.35%,47.25
Jabari Smith Jr.,T6,4.35%,17.0
