Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,91.30%,28.0
Devonte' Graham,PG,86.96%,39.0
Tari Eason,SF,73.91%,38.25
Jalen Green,PG,60.87%,19.0
Joel Embiid,C,56.52%,56.0
Tre Jones,PG,34.78%,19.75
Hamidou Diallo,SG,34.78%,26.75
Evan Mobley,PF,30.43%,48.75
Tyrese Maxey,SG,30.43%,32.25
Marvin Bagley III,PF,30.43%,48.25
James Harden,PG,21.74%,69.25
Bam Adebayo,C,21.74%,57.75
Zach Collins,C,21.74%,39.0
Keegan Murray,SF,17.39%,6.25
Giannis Antetokounmpo,PF,13.04%,58.25
Anthony Edwards,G,13.04%,43.0
De'Aaron Fox,PG,13.04%,38.5
Jarrett Allen,C,13.04%,24.75
Jaden Ivey,PG,13.04%,16.0
Tobias Harris,SF,13.04%,6.0
Donovan Mitchell,PG,8.70%,36.25
Jimmy Butler,F,8.70%,44.25
Tyler Herro,PG,8.70%,34.5
Harrison Barnes,SF,8.70%,27.0
Domantas Sabonis,C,4.35%,51.0
Dejounte Murray,G,4.35%,23.75
Alperen Sengun,C,4.35%,36.5
Brook Lopez,C,4.35%,42.5
Khris Middleton,F,4.35%,14.25
KJ Martin,SF,4.35%,34.75
Kyle Anderson,SF,4.35%,47.25
Kevin Huerter,G,4.35%,39.0
Jaden McDaniels,UTIL,4.35%,31.5
John Collins,UTIL,4.35%,3.75
Naz Reid,C,4.35%,17.5
Caleb Martin,PF,4.35%,24.25
De'Anthony Melton,UTIL,4.35%,9.0
Ricky Rubio,G,4.35%,24.25
Blake Wesley,G,4.35%,6.5
Dean Wade,C,4.35%,8.25
Austin Rivers,SG,4.35%,0.0
