Player,Roster Position,%Drafted,FPTS
Harrison Barnes,SF,66.67%,27.0
Kyle Anderson,PF,66.67%,47.25
Joel Embiid,C,66.67%,56.0
Jaden McDaniels,SF,66.67%,31.5
Tyrese Maxey,PG,66.67%,32.25
Keegan Murray,PF,66.67%,6.25
Mike Conley,PG,33.33%,34.25
James Harden,G,33.33%,69.25
Tobias Harris,SF,33.33%,6.0
Rudy Gobert,UTIL,33.33%,35.5
Jordan McLaughlin,PG,33.33%,8.25
Trey Lyles,UTIL,33.33%,30.0
Domantas Sabonis,C,33.33%,51.0
De'Anthony Melton,SG,33.33%,9.0
De'Aaron Fox,G,33.33%,38.5
Malik Monk,G,33.33%,16.75
Naz Reid,PF,33.33%,17.5
Anthony Edwards,SG,33.33%,43.0
