Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,88.89%,51.0
Anthony Edwards,UTIL,83.33%,43.0
Keegan Murray,UTIL,72.22%,6.25
Kyle Anderson,UTIL,55.56%,47.25
Harrison Barnes,UTIL,55.56%,27.0
Taurean Prince,UTIL,55.56%,10.0
De'Aaron Fox,UTIL,44.44%,38.5
Jaden McDaniels,UTIL,27.78%,31.5
Rudy Gobert,UTIL,22.22%,35.5
Mike Conley,UTIL,22.22%,34.25
Jordan McLaughlin,UTIL,16.67%,8.25
Naz Reid,UTIL,11.11%,17.5
Trey Lyles,UTIL,11.11%,30.0
Nickeil Alexander-Walker,UTIL,11.11%,33.25
Malik Monk,UTIL,5.56%,16.75
Kevin Huerter,UTIL,5.56%,39.0
Davion Mitchell,UTIL,5.56%,3.5
Chimezie Metu,UTIL,5.56%,8.5
