Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,71.43%,28.0
Tari Eason,SF,71.43%,38.25
Devonte' Graham,PG,64.29%,39.0
Tyrese Maxey,PG,50.00%,32.25
Hamidou Diallo,SG,50.00%,26.75
Joel Embiid,C,42.86%,56.0
Jalen Green,PG,35.71%,19.0
Keegan Murray,PF,35.71%,6.25
Zach Collins,C,28.57%,39.0
Tre Jones,PG,28.57%,19.75
Giannis Antetokounmpo,C,21.43%,58.25
Domantas Sabonis,C,21.43%,51.0
Tyler Herro,SG,21.43%,34.5
Jarrett Allen,C,21.43%,24.75
Marvin Bagley III,PF,21.43%,48.25
Anthony Edwards,SF,14.29%,43.0
De'Aaron Fox,G,14.29%,38.5
Dejounte Murray,SG,14.29%,23.75
Evan Mobley,PF,14.29%,48.75
Rudy Gobert,C,14.29%,35.5
Mike Conley,PG,14.29%,34.25
Jabari Smith Jr.,PF,14.29%,17.0
Kevin Huerter,SG,14.29%,39.0
John Collins,PF,14.29%,3.75
James Harden,UTIL,7.14%,69.25
Donovan Mitchell,SG,7.14%,36.25
Darius Garland,PG,7.14%,40.75
Kevin Porter Jr.,PG,7.14%,28.0
Brook Lopez,C,7.14%,42.5
Kyle Anderson,SF,7.14%,47.25
Killian Hayes,G,7.14%,16.5
Malik Monk,G,7.14%,16.75
Harrison Barnes,F,7.14%,27.0
Charles Bassey,UTIL,7.14%,28.5
Caris LeVert,SG,7.14%,20.5
Daishen Nix,SG,7.14%,17.0
