Player,Roster Position,%Drafted,FPTS
Giannis Antetokounmpo,UTIL,95.65%,58.25
Joel Embiid,UTIL,91.30%,56.0
James Harden,UTIL,60.87%,69.25
P.J. Tucker,UTIL,56.52%,8.0
Tyrese Maxey,UTIL,52.17%,32.25
Jalen McDaniels,UTIL,52.17%,11.0
Jrue Holiday,UTIL,43.48%,54.0
De'Anthony Melton,UTIL,30.43%,9.0
Khris Middleton,UTIL,17.39%,14.25
Tobias Harris,UTIL,17.39%,6.0
Georges Niang,UTIL,13.04%,21.75
Bobby Portis,UTIL,8.70%,13.75
Brook Lopez,UTIL,8.70%,42.5
Jevon Carter,UTIL,8.70%,11.25
Joe Ingles,UTIL,8.70%,12.25
Paul Reed,UTIL,8.70%,12.5
Grayson Allen,UTIL,4.35%,31.25
Pat Connaughton,UTIL,4.35%,3.5
AJ Green,UTIL,4.35%,0.0
Shake Milton,UTIL,4.35%,4.75
Furkan Korkmaz,UTIL,4.35%,0.0
Jae Crowder,CPT,4.35%,7.12
