Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,95.24%,28.0
Devonte' Graham,PG,90.48%,39.0
Joel Embiid,C,80.95%,56.0
Jalen Green,PG,80.95%,19.0
Marvin Bagley III,PF,80.95%,48.25
Tari Eason,SF,80.95%,38.25
Tre Jones,PG,66.67%,19.75
Bam Adebayo,C,42.86%,57.75
Tyrese Maxey,G,28.57%,32.25
Evan Mobley,PF,19.05%,48.75
James Harden,PG,14.29%,69.25
Hamidou Diallo,SF,14.29%,26.75
Anthony Edwards,G,9.52%,43.0
De'Aaron Fox,PG,9.52%,38.5
Alperen Sengun,C,9.52%,36.5
Tyler Herro,PG,9.52%,34.5
Zach Collins,C,9.52%,39.0
Giannis Antetokounmpo,UTIL,4.76%,58.25
Jarrett Allen,C,4.76%,24.75
KJ Martin,SF,4.76%,34.75
Kyle Anderson,F,4.76%,47.25
Tobias Harris,PF,4.76%,6.0
Keita Bates-Diop,SF,4.76%,30.25
James Wiseman,C,4.76%,19.75
Harrison Barnes,SF,4.76%,27.0
Keegan Murray,UTIL,4.76%,6.25
John Collins,UTIL,4.76%,3.75
Naz Reid,F,4.76%,17.5
Charles Bassey,C,4.76%,28.5
