Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,94.87%,39.0
Jeremy Sochan,PF,89.74%,28.0
Tari Eason,SF,82.05%,38.25
Joel Embiid,C,74.36%,56.0
Jalen Green,PG,69.23%,19.0
Marvin Bagley III,PF,58.97%,48.25
Tre Jones,PG,51.28%,19.75
Tyrese Maxey,SG,30.77%,32.25
Hamidou Diallo,SG,30.77%,26.75
Anthony Edwards,SG,28.21%,43.0
Bam Adebayo,C,28.21%,57.75
Evan Mobley,PF,28.21%,48.75
James Harden,PG,12.82%,69.25
De'Aaron Fox,PG,12.82%,38.5
Zach Collins,C,12.82%,39.0
Harrison Barnes,SF,12.82%,27.0
Keegan Murray,SF,10.26%,6.25
Alperen Sengun,C,7.69%,36.5
Tyler Herro,SG,7.69%,34.5
Jarrett Allen,C,7.69%,24.75
Tobias Harris,PF,5.13%,6.0
Gabe Vincent,G,5.13%,16.5
Giannis Antetokounmpo,UTIL,2.56%,58.25
Trae Young,PG,2.56%,35.5
Jimmy Butler,SF,2.56%,44.25
Darius Garland,G,2.56%,40.75
Rudy Gobert,C,2.56%,35.5
KJ Martin,UTIL,2.56%,34.75
Jaden Ivey,SG,2.56%,16.0
Kyle Anderson,F,2.56%,47.25
Killian Hayes,PG,2.56%,16.5
James Wiseman,C,2.56%,19.75
Jaden McDaniels,PF,2.56%,31.5
John Collins,UTIL,2.56%,3.75
Caris LeVert,SG,2.56%,20.5
Trey Lyles,PF,2.56%,30.0
Taurean Prince,F,2.56%,10.0
