Player,Roster Position,%Drafted,FPTS
Trae Young,UTIL,68.42%,35.5
Jimmy Butler,UTIL,68.42%,44.25
Bam Adebayo,UTIL,68.42%,57.75
Tyler Herro,UTIL,52.63%,34.5
Dejounte Murray,UTIL,42.11%,23.75
De'Andre Hunter,UTIL,42.11%,25.75
Onyeka Okongwu,UTIL,42.11%,21.0
Clint Capela,UTIL,36.84%,37.75
Gabe Vincent,UTIL,31.58%,16.5
Kevin Love,UTIL,21.05%,16.25
Saddiq Bey,UTIL,21.05%,33.75
John Collins,UTIL,15.79%,3.75
Jalen Johnson,UTIL,15.79%,13.0
Bogdan Bogdanovic,UTIL,10.53%,18.0
Caleb Martin,UTIL,10.53%,24.25
Cody Zeller,UTIL,10.53%,15.0
Max Strus,UTIL,5.26%,12.25
Victor Oladipo,CPT,5.26%,18.75
