Player,Roster Position,%Drafted,FPTS
Giannis Antetokounmpo,T1,81.82%,58.25
Jeremy Sochan,T6,63.64%,28.0
De'Aaron Fox,T3,54.55%,38.5
Domantas Sabonis,T2,45.45%,51.0
Anthony Edwards,T2,45.45%,43.0
Evan Mobley,T4,36.36%,48.75
Jarrett Allen,T5,36.36%,24.75
Zach Collins,T5,36.36%,39.0
Darius Garland,T3,27.27%,40.75
Dejounte Murray,T4,27.27%,23.75
Kevin Porter Jr.,T4,18.18%,28.0
Brook Lopez,T5,18.18%,42.5
Joel Embiid,T1,9.09%,56.0
James Harden,T1,9.09%,69.25
Trae Young,T2,9.09%,35.5
Jimmy Butler,T3,9.09%,44.25
Rudy Gobert,T3,9.09%,35.5
Alperen Sengun,T4,9.09%,36.5
Tyler Herro,T4,9.09%,34.5
Jalen Green,T5,9.09%,19.0
Clint Capela,T6,9.09%,37.75
Jaden Ivey,T6,9.09%,16.0
Kyle Anderson,T6,9.09%,47.25
Jabari Smith Jr.,T6,9.09%,17.0
