Player,Roster Position,%Drafted,FPTS
Tre Jones,PG,100.00%,19.75
Devonte' Graham,PG,100.00%,39.0
Bam Adebayo,C,66.67%,57.75
Jalen Green,SG,66.67%,19.0
Jeremy Sochan,PF,66.67%,28.0
Marvin Bagley III,PF,66.67%,48.25
Joel Embiid,UTIL,33.33%,56.0
Domantas Sabonis,C,33.33%,51.0
Anthony Edwards,F,33.33%,43.0
Jimmy Butler,SF,33.33%,44.25
Dejounte Murray,UTIL,33.33%,23.75
Kyle Anderson,F,33.33%,47.25
Kevin Huerter,G,33.33%,39.0
Harrison Barnes,UTIL,33.33%,27.0
Hamidou Diallo,SF,33.33%,26.75
Tari Eason,SF,33.33%,38.25
