Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,86.96%,32.25
Harrison Barnes,SF,73.91%,27.0
Keegan Murray,SF,69.57%,6.25
Jaden McDaniels,SF,60.87%,31.5
Kyle Anderson,SF,56.52%,47.25
De'Anthony Melton,SG,56.52%,9.0
James Harden,PG,52.17%,69.25
Joel Embiid,C,52.17%,56.0
Tobias Harris,SF,30.43%,6.0
Domantas Sabonis,C,30.43%,51.0
De'Aaron Fox,PG,26.09%,38.5
Mike Conley,PG,21.74%,34.25
Anthony Edwards,SG,21.74%,43.0
Giannis Antetokounmpo,PF,17.39%,58.25
Rudy Gobert,C,17.39%,35.5
Kevin Huerter,SG,17.39%,39.0
Naz Reid,PF,17.39%,17.5
Trey Lyles,PF,13.04%,30.0
Malik Monk,SG,13.04%,16.75
Pat Connaughton,SF,8.70%,3.5
Taurean Prince,PF,8.70%,10.0
Grayson Allen,SG,8.70%,31.25
Nickeil Alexander-Walker,PG,8.70%,33.25
P.J. Tucker,F,4.35%,8.0
Brook Lopez,UTIL,4.35%,42.5
Khris Middleton,SF,4.35%,14.25
Joe Ingles,SG,4.35%,12.25
Bobby Portis,PF,4.35%,13.75
Jordan McLaughlin,G,4.35%,8.25
Davion Mitchell,UTIL,4.35%,3.5
