Player,Roster Position,%Drafted,FPTS
Pascal Siakam,UTIL,86.36%,36.5
Kristaps Porzingis,UTIL,86.36%,50.75
Bradley Beal,UTIL,77.27%,45.0
Fred VanVleet,UTIL,68.18%,59.5
Jakob Poeltl,UTIL,68.18%,21.25
Kyle Kuzma,UTIL,40.91%,23.5
Delon Wright,UTIL,36.36%,50.5
Corey Kispert,UTIL,36.36%,20.0
OG Anunoby,UTIL,22.73%,15.75
Daniel Gafford,UTIL,22.73%,17.0
Gary Trent Jr.,UTIL,13.64%,44.25
Scottie Barnes,UTIL,9.09%,24.25
Chris Boucher,UTIL,9.09%,16.5
Kendrick Nunn,UTIL,9.09%,-0.25
Deni Avdija,UTIL,4.55%,2.0
Precious Achiuwa,UTIL,4.55%,7.5
Jordan Goodwin,UTIL,4.55%,12.75
