Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,95.65%,39.0
Jeremy Sochan,PF,91.30%,28.0
Tari Eason,SF,78.26%,38.25
Joel Embiid,C,73.91%,56.0
Jalen Green,PG,73.91%,19.0
Marvin Bagley III,PF,47.83%,48.25
Hamidou Diallo,SG,43.48%,26.75
Tre Jones,PG,30.43%,19.75
James Harden,PG,26.09%,69.25
Tyrese Maxey,G,26.09%,32.25
Anthony Edwards,G,21.74%,43.0
Evan Mobley,PF,21.74%,48.75
Zach Collins,C,21.74%,39.0
Bam Adebayo,C,17.39%,57.75
Domantas Sabonis,C,13.04%,51.0
De'Aaron Fox,PG,13.04%,38.5
Tyler Herro,PG,8.70%,34.5
Jarrett Allen,C,8.70%,24.75
Tobias Harris,PF,8.70%,6.0
James Wiseman,C,8.70%,19.75
Keegan Murray,PF,8.70%,6.25
Caris LeVert,SG,8.70%,20.5
Jimmy Butler,F,4.35%,44.25
KJ Martin,SF,4.35%,34.75
Jaden Ivey,G,4.35%,16.0
Kyle Anderson,SF,4.35%,47.25
Jabari Smith Jr.,PF,4.35%,17.0
Harrison Barnes,SF,4.35%,27.0
John Collins,UTIL,4.35%,3.75
Naz Reid,F,4.35%,17.5
Caleb Martin,PF,4.35%,24.25
De'Anthony Melton,F,4.35%,9.0
Blake Wesley,PG,4.35%,6.5
Taurean Prince,UTIL,4.35%,10.0
