Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,89.19%,32.25
Harrison Barnes,SF,67.57%,27.0
Kyle Anderson,SF,62.16%,47.25
Keegan Murray,SF,56.76%,6.25
Joel Embiid,C,54.05%,56.0
Jaden McDaniels,SF,51.35%,31.5
Kevin Huerter,SG,45.95%,39.0
Mike Conley,PG,35.14%,34.25
James Harden,PG,35.14%,69.25
De'Anthony Melton,SG,35.14%,9.0
Tobias Harris,SF,29.73%,6.0
De'Aaron Fox,PG,27.03%,38.5
Rudy Gobert,C,24.32%,35.5
Giannis Antetokounmpo,PF,21.62%,58.25
Malik Monk,SG,21.62%,16.75
Taurean Prince,SF,18.92%,10.0
Anthony Edwards,SG,18.92%,43.0
Domantas Sabonis,C,16.22%,51.0
Naz Reid,PF,16.22%,17.5
Brook Lopez,C,10.81%,42.5
Jrue Holiday,PG,10.81%,54.0
P.J. Tucker,F,8.11%,8.0
Khris Middleton,SF,8.11%,14.25
Grayson Allen,SG,8.11%,31.25
Trey Lyles,PF,8.11%,30.0
Jae Crowder,SF,2.70%,4.75
Joe Ingles,UTIL,2.70%,12.25
Pat Connaughton,SF,2.70%,3.5
Jevon Carter,PG,2.70%,11.25
Shake Milton,SG,2.70%,4.75
Terence Davis,G,2.70%,5.25
Nickeil Alexander-Walker,SG,2.70%,33.25
