Player,Roster Position,%Drafted,FPTS
Devonte' Graham,SG,80.00%,39.0
Trae Young,PG,80.00%,35.5
Jeremy Sochan,PF,80.00%,28.0
Clint Capela,C,60.00%,37.75
Zach Collins,C,60.00%,39.0
Tari Eason,SF,60.00%,38.25
Jimmy Butler,F,40.00%,44.25
Dejounte Murray,PG,40.00%,23.75
Bam Adebayo,C,40.00%,57.75
Tre Jones,PG,40.00%,19.75
Jalen Green,G,40.00%,19.0
Kevin Love,PF,20.00%,16.25
Caleb Martin,F,20.00%,24.25
Keita Bates-Diop,SF,20.00%,30.25
Gabe Vincent,SG,20.00%,16.5
De'Andre Hunter,SF,20.00%,25.75
Tyler Herro,SG,20.00%,34.5
Kevin Porter Jr.,G,20.00%,28.0
KJ Martin,SF,20.00%,34.75
Jabari Smith Jr.,F,20.00%,17.0
