Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,95.65%,39.0
Jeremy Sochan,PF,91.30%,28.0
Joel Embiid,C,86.96%,56.0
Tari Eason,SF,82.61%,38.25
Jalen Green,PG,73.91%,19.0
Marvin Bagley III,PF,69.57%,48.25
Tre Jones,PG,69.57%,19.75
Bam Adebayo,C,43.48%,57.75
Hamidou Diallo,SF,26.09%,26.75
Tyrese Maxey,G,21.74%,32.25
Harrison Barnes,SF,17.39%,27.0
James Harden,PG,13.04%,69.25
Evan Mobley,PF,13.04%,48.75
Zach Collins,C,13.04%,39.0
Anthony Edwards,G,8.70%,43.0
De'Aaron Fox,PG,8.70%,38.5
Tyler Herro,SG,8.70%,34.5
Giannis Antetokounmpo,UTIL,4.35%,58.25
Donovan Mitchell,SG,4.35%,36.25
Alperen Sengun,C,4.35%,36.5
Rudy Gobert,UTIL,4.35%,35.5
Jarrett Allen,C,4.35%,24.75
KJ Martin,F,4.35%,34.75
Jabari Smith Jr.,UTIL,4.35%,17.0
Tobias Harris,PF,4.35%,6.0
Kevin Love,C,4.35%,16.25
Keita Bates-Diop,SF,4.35%,30.25
Keegan Murray,F,4.35%,6.25
John Collins,UTIL,4.35%,3.75
Caris LeVert,SG,4.35%,20.5
