Player,Roster Position,%Drafted,FPTS
Bradley Beal,UTIL,72.22%,45.0
Kristaps Porzingis,UTIL,69.44%,50.75
Jakob Poeltl,UTIL,69.44%,21.25
Pascal Siakam,UTIL,61.11%,36.5
Fred VanVleet,UTIL,58.33%,59.5
Delon Wright,UTIL,50.00%,50.5
OG Anunoby,UTIL,47.22%,15.75
Kyle Kuzma,UTIL,41.67%,23.5
Daniel Gafford,UTIL,30.56%,17.0
Scottie Barnes,UTIL,27.78%,24.25
Corey Kispert,UTIL,27.78%,20.0
Gary Trent Jr.,UTIL,8.33%,44.25
Deni Avdija,UTIL,5.56%,2.0
Chris Boucher,UTIL,5.56%,16.5
Will Barton,UTIL,2.78%,9.75
Jordan Goodwin,UTIL,2.78%,12.75
Kendrick Nunn,UTIL,2.78%,-0.25
