Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,82.05%,51.0
De'Aaron Fox,UTIL,69.23%,38.5
Anthony Edwards,UTIL,64.10%,43.0
Keegan Murray,UTIL,48.72%,6.25
Rudy Gobert,UTIL,38.46%,35.5
Kyle Anderson,UTIL,35.90%,47.25
Harrison Barnes,UTIL,35.90%,27.0
Trey Lyles,UTIL,35.90%,30.0
Taurean Prince,UTIL,35.90%,10.0
Naz Reid,UTIL,30.77%,17.5
Jaden McDaniels,UTIL,28.21%,31.5
Mike Conley,UTIL,20.51%,34.25
Kevin Huerter,UTIL,15.38%,39.0
Jordan McLaughlin,UTIL,10.26%,8.25
Terence Davis,UTIL,7.69%,5.25
Chimezie Metu,UTIL,7.69%,8.5
Luka Garza,UTIL,7.69%,0.0
Malik Monk,UTIL,5.13%,16.75
Davion Mitchell,UTIL,5.13%,3.5
Nickeil Alexander-Walker,UTIL,5.13%,33.25
Jaylen Nowell,UTIL,5.13%,0.0
Austin Rivers,UTIL,5.13%,0.0
