Player,Roster Position,%Drafted,FPTS
Kyle Anderson,SF,66.67%,47.25
Joel Embiid,C,66.67%,56.0
De'Anthony Melton,SG,66.67%,9.0
Jaden McDaniels,SF,66.67%,31.5
Tyrese Maxey,SG,66.67%,32.25
P.J. Tucker,F,33.33%,8.0
Mike Conley,PG,33.33%,34.25
James Harden,PG,33.33%,69.25
Harrison Barnes,PF,33.33%,27.0
Tobias Harris,PF,33.33%,6.0
Joe Ingles,G,33.33%,12.25
Rudy Gobert,UTIL,33.33%,35.5
Domantas Sabonis,C,33.33%,51.0
Kevin Huerter,SG,33.33%,39.0
De'Aaron Fox,PG,33.33%,38.5
Malik Monk,G,33.33%,16.75
Naz Reid,PF,33.33%,17.5
Anthony Edwards,SF,33.33%,43.0
Keegan Murray,F,33.33%,6.25
