Player,Roster Position,%Drafted,FPTS
Trae Young,UTIL,83.87%,35.5
Bam Adebayo,UTIL,74.19%,57.75
Tyler Herro,UTIL,70.97%,34.5
Dejounte Murray,UTIL,48.39%,23.75
Bogdan Bogdanovic,UTIL,45.16%,18.0
Jimmy Butler,UTIL,38.71%,44.25
De'Andre Hunter,UTIL,29.03%,25.75
Onyeka Okongwu,UTIL,29.03%,21.0
Victor Oladipo,UTIL,22.58%,12.5
Clint Capela,UTIL,19.35%,37.75
Kevin Love,UTIL,19.35%,16.25
John Collins,UTIL,19.35%,3.75
Saddiq Bey,UTIL,16.13%,33.75
Caleb Martin,UTIL,12.90%,24.25
Gabe Vincent,UTIL,12.90%,16.5
AJ Griffin,UTIL,12.90%,0.0
Cody Zeller,UTIL,9.68%,15.0
Jalen Johnson,UTIL,9.68%,13.0
Max Strus,UTIL,6.45%,12.25
