Player,Roster Position,%Drafted,FPTS
Donovan Mitchell,UTIL,94.12%,36.25
Darius Garland,UTIL,94.12%,40.75
Evan Mobley,UTIL,88.24%,48.75
Jarrett Allen,UTIL,64.71%,24.75
Hamidou Diallo,UTIL,52.94%,26.75
James Wiseman,UTIL,41.18%,19.75
Killian Hayes,UTIL,29.41%,16.5
R.J. Hampton,UTIL,29.41%,13.75
Jaden Ivey,UTIL,23.53%,16.0
Cory Joseph,UTIL,23.53%,17.0
Marvin Bagley III,UTIL,17.65%,48.25
Caris LeVert,UTIL,11.76%,20.5
Isaiah Livers,UTIL,11.76%,17.5
Ricky Rubio,UTIL,5.88%,24.25
Dean Wade,UTIL,5.88%,8.25
Cedi Osman,UTIL,5.88%,15.0
