Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,90.91%,32.25
James Harden,PG,81.82%,69.25
Jaden McDaniels,SF,81.82%,31.5
Keegan Murray,SF,81.82%,6.25
Harrison Barnes,SF,72.73%,27.0
Kyle Anderson,SF,72.73%,47.25
Joel Embiid,C,72.73%,56.0
De'Anthony Melton,SG,72.73%,9.0
Tobias Harris,PF,27.27%,6.0
Domantas Sabonis,C,18.18%,51.0
Kevin Huerter,G,18.18%,39.0
De'Aaron Fox,PG,18.18%,38.5
Naz Reid,C,18.18%,17.5
Anthony Edwards,SG,18.18%,43.0
Mike Conley,PG,9.09%,34.25
Taurean Prince,UTIL,9.09%,10.0
Rudy Gobert,UTIL,9.09%,35.5
Trey Lyles,PF,9.09%,30.0
Malik Monk,G,9.09%,16.75
Nickeil Alexander-Walker,SG,9.09%,33.25
