Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,75.00%,32.25
Keegan Murray,PF,66.67%,6.25
Kyle Anderson,SF,50.00%,47.25
De'Aaron Fox,PG,50.00%,38.5
Harrison Barnes,SF,41.67%,27.0
Domantas Sabonis,C,41.67%,51.0
Rudy Gobert,C,33.33%,35.5
De'Anthony Melton,SG,33.33%,9.0
Naz Reid,PF,33.33%,17.5
James Harden,PG,25.00%,69.25
Khris Middleton,SF,25.00%,14.25
Tobias Harris,PF,25.00%,6.0
Mike Conley,PG,16.67%,34.25
Taurean Prince,SF,16.67%,10.0
Bobby Portis,C,16.67%,13.75
Joel Embiid,C,16.67%,56.0
Grayson Allen,G,16.67%,31.25
Kevin Huerter,SG,16.67%,39.0
Anthony Edwards,G,16.67%,43.0
Brook Lopez,C,8.33%,42.5
Jrue Holiday,G,8.33%,54.0
Pat Connaughton,G,8.33%,3.5
Malik Monk,UTIL,8.33%,16.75
Kessler Edwards,F,8.33%,10.75
Jaden McDaniels,PF,8.33%,31.5
