Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,80.65%,32.25
Keegan Murray,SF,58.06%,6.25
De'Anthony Melton,SG,54.84%,9.0
Jaden McDaniels,SF,54.84%,31.5
Kyle Anderson,SF,51.61%,47.25
Harrison Barnes,SF,48.39%,27.0
Joel Embiid,C,45.16%,56.0
Anthony Edwards,SG,38.71%,43.0
De'Aaron Fox,PG,32.26%,38.5
Mike Conley,PG,29.03%,34.25
James Harden,PG,29.03%,69.25
Tobias Harris,SF,29.03%,6.0
Giannis Antetokounmpo,PF,25.81%,58.25
Kevin Huerter,SG,25.81%,39.0
Rudy Gobert,C,19.35%,35.5
Domantas Sabonis,C,19.35%,51.0
Naz Reid,PF,19.35%,17.5
Brook Lopez,C,16.13%,42.5
Khris Middleton,F,16.13%,14.25
Taurean Prince,SF,12.90%,10.0
Malik Monk,SG,12.90%,16.75
Jrue Holiday,PG,9.68%,54.0
Trey Lyles,PF,9.68%,30.0
Jalen McDaniels,SF,9.68%,11.0
Nickeil Alexander-Walker,PG,9.68%,33.25
Austin Rivers,PG,6.45%,0.0
Grayson Allen,SG,6.45%,31.25
Davion Mitchell,SG,6.45%,3.5
P.J. Tucker,UTIL,3.23%,8.0
Jae Crowder,PF,3.23%,4.75
Joe Ingles,G,3.23%,12.25
Georges Niang,F,3.23%,21.75
Jevon Carter,UTIL,3.23%,11.25
Jordan McLaughlin,UTIL,3.23%,8.25
Terence Davis,G,3.23%,5.25
