Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,100.00%,39.0
Anthony Edwards,SF,60.00%,43.0
Jalen Green,SG,60.00%,19.0
Jeremy Sochan,PF,60.00%,28.0
Tari Eason,SF,60.00%,38.25
Joel Embiid,UTIL,40.00%,56.0
De'Aaron Fox,G,40.00%,38.5
Bam Adebayo,C,40.00%,57.75
Jabari Smith Jr.,PF,40.00%,17.0
Tre Jones,PG,40.00%,19.75
Hamidou Diallo,SG,40.00%,26.75
James Harden,G,20.00%,69.25
Alperen Sengun,C,20.00%,36.5
Rudy Gobert,C,20.00%,35.5
Zach Collins,C,20.00%,39.0
Kyle Anderson,F,20.00%,47.25
Tyrese Maxey,SG,20.00%,32.25
Killian Hayes,PG,20.00%,16.5
Marvin Bagley III,PF,20.00%,48.25
Keegan Murray,PF,20.00%,6.25
Naz Reid,F,20.00%,17.5
Rodney McGruder,SF,20.00%,6.0
