Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,100.00%,32.25
De'Anthony Melton,SG,81.82%,9.0
Keegan Murray,SF,81.82%,6.25
Kyle Anderson,SF,77.27%,47.25
Joel Embiid,C,77.27%,56.0
Jaden McDaniels,SF,77.27%,31.5
James Harden,PG,72.73%,69.25
Harrison Barnes,SF,72.73%,27.0
Tobias Harris,SF,18.18%,6.0
Domantas Sabonis,C,18.18%,51.0
Kevin Huerter,SG,18.18%,39.0
De'Aaron Fox,PG,18.18%,38.5
Mike Conley,PG,13.64%,34.25
Rudy Gobert,C,13.64%,35.5
Naz Reid,F,13.64%,17.5
Malik Monk,G,9.09%,16.75
Anthony Edwards,SG,9.09%,43.0
Joe Ingles,PG,4.55%,12.25
Taurean Prince,F,4.55%,10.0
Giannis Antetokounmpo,C,4.55%,58.25
Trey Lyles,PF,4.55%,30.0
Jalen McDaniels,SF,4.55%,11.0
Davion Mitchell,G,4.55%,3.5
