Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,100.00%,28.0
Devonte' Graham,PG,100.00%,39.0
Jalen Green,PG,90.91%,19.0
Tari Eason,SF,90.91%,38.25
Joel Embiid,UTIL,72.73%,56.0
Marvin Bagley III,PF,72.73%,48.25
Tre Jones,PG,63.64%,19.75
Bam Adebayo,C,45.45%,57.75
Anthony Edwards,G,18.18%,43.0
Evan Mobley,C,18.18%,48.75
Zach Collins,C,18.18%,39.0
Tyrese Maxey,G,18.18%,32.25
Giannis Antetokounmpo,UTIL,9.09%,58.25
James Harden,PG,9.09%,69.25
De'Aaron Fox,UTIL,9.09%,38.5
Alperen Sengun,C,9.09%,36.5
Jarrett Allen,C,9.09%,24.75
Kyle Anderson,F,9.09%,47.25
Tobias Harris,PF,9.09%,6.0
Harrison Barnes,SF,9.09%,27.0
Hamidou Diallo,SG,9.09%,26.75
John Collins,UTIL,9.09%,3.75
