Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,93.55%,32.25
Keegan Murray,SF,80.65%,6.25
Harrison Barnes,SF,77.42%,27.0
Joel Embiid,C,67.74%,56.0
Jaden McDaniels,SF,61.29%,31.5
De'Anthony Melton,SG,54.84%,9.0
Kyle Anderson,SF,48.39%,47.25
De'Aaron Fox,PG,48.39%,38.5
James Harden,PG,41.94%,69.25
Naz Reid,PF,29.03%,17.5
Kevin Huerter,SG,25.81%,39.0
Mike Conley,PG,22.58%,34.25
Rudy Gobert,C,22.58%,35.5
Domantas Sabonis,C,19.35%,51.0
Anthony Edwards,SG,16.13%,43.0
Tobias Harris,PF,12.90%,6.0
Trey Lyles,PF,12.90%,30.0
Brook Lopez,UTIL,9.68%,42.5
Taurean Prince,SF,9.68%,10.0
Malik Monk,G,9.68%,16.75
Nickeil Alexander-Walker,G,9.68%,33.25
Khris Middleton,SF,6.45%,14.25
Joe Ingles,G,6.45%,12.25
Giannis Antetokounmpo,PF,6.45%,58.25
Pat Connaughton,F,3.23%,3.5
Grayson Allen,UTIL,3.23%,31.25
