Player,Roster Position,%Drafted,FPTS
Kristaps Porzingis,UTIL,80.00%,50.75
Bradley Beal,UTIL,80.00%,45.0
Jakob Poeltl,UTIL,72.50%,21.25
Pascal Siakam,UTIL,70.00%,36.5
Fred VanVleet,UTIL,65.00%,59.5
Kyle Kuzma,UTIL,55.00%,23.5
Delon Wright,UTIL,45.00%,50.5
OG Anunoby,UTIL,30.00%,15.75
Corey Kispert,UTIL,30.00%,20.0
Daniel Gafford,UTIL,27.50%,17.0
Deni Avdija,UTIL,15.00%,2.0
Scottie Barnes,UTIL,12.50%,24.25
Kendrick Nunn,UTIL,7.50%,-0.25
Gary Trent Jr.,UTIL,5.00%,44.25
Precious Achiuwa,UTIL,2.50%,7.5
Jordan Goodwin,UTIL,2.50%,12.75
