Player,Roster Position,%Drafted,FPTS
De'Aaron Fox,T3,81.82%,38.5
Giannis Antetokounmpo,T1,72.73%,58.25
Domantas Sabonis,T2,63.64%,51.0
Jarrett Allen,T5,63.64%,24.75
Jeremy Sochan,T6,54.55%,28.0
Dejounte Murray,T4,45.45%,23.75
Evan Mobley,T4,36.36%,48.75
Jalen Green,T5,27.27%,19.0
Clint Capela,T6,27.27%,37.75
Joel Embiid,T1,18.18%,56.0
Donovan Mitchell,T2,18.18%,36.25
James Harden,T1,9.09%,69.25
Trae Young,T2,9.09%,35.5
Anthony Edwards,T2,9.09%,43.0
Darius Garland,T3,9.09%,40.75
Bam Adebayo,T3,9.09%,57.75
Alperen Sengun,T4,9.09%,36.5
Kevin Porter Jr.,T4,9.09%,28.0
Zach Collins,T5,9.09%,39.0
Mike Conley,T6,9.09%,34.25
KJ Martin,T6,9.09%,34.75
