Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,100.00%,32.25
De'Anthony Melton,SG,85.71%,9.0
Harrison Barnes,SF,71.43%,27.0
Kyle Anderson,SF,71.43%,47.25
Jaden McDaniels,SF,71.43%,31.5
Keegan Murray,SF,71.43%,6.25
James Harden,PG,64.29%,69.25
Joel Embiid,C,64.29%,56.0
Tobias Harris,SF,35.71%,6.0
Kevin Huerter,SG,28.57%,39.0
Giannis Antetokounmpo,C,21.43%,58.25
Domantas Sabonis,C,21.43%,51.0
Malik Monk,G,14.29%,16.75
Naz Reid,PF,14.29%,17.5
Anthony Edwards,SG,14.29%,43.0
Mike Conley,UTIL,7.14%,34.25
Brook Lopez,C,7.14%,42.5
Jae Crowder,UTIL,7.14%,4.75
Joe Ingles,PG,7.14%,12.25
Taurean Prince,UTIL,7.14%,10.0
Rudy Gobert,UTIL,7.14%,35.5
De'Aaron Fox,G,7.14%,38.5
