Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,100.00%,32.25
Harrison Barnes,SF,92.86%,27.0
Joel Embiid,C,85.71%,56.0
James Harden,PG,78.57%,69.25
Kyle Anderson,SF,78.57%,47.25
Keegan Murray,SF,78.57%,6.25
De'Anthony Melton,SG,71.43%,9.0
Jaden McDaniels,SF,64.29%,31.5
Kevin Huerter,SG,28.57%,39.0
Tobias Harris,PF,21.43%,6.0
Taurean Prince,UTIL,21.43%,10.0
Naz Reid,PF,14.29%,17.5
Anthony Edwards,G,14.29%,43.0
Brook Lopez,C,7.14%,42.5
Joe Ingles,PG,7.14%,12.25
Giannis Antetokounmpo,F,7.14%,58.25
Rudy Gobert,UTIL,7.14%,35.5
Trey Lyles,F,7.14%,30.0
Domantas Sabonis,C,7.14%,51.0
De'Aaron Fox,PG,7.14%,38.5
