Player,Roster Position,%Drafted,FPTS
Joel Embiid,C,100.00%,56.0
Anthony Edwards,F,66.67%,43.0
Jeremy Sochan,PF,66.67%,28.0
Tyrese Maxey,PG,66.67%,32.25
Marvin Bagley III,PF,66.67%,48.25
Hamidou Diallo,SG,66.67%,26.75
Devonte' Graham,PG,66.67%,39.0
Rudy Gobert,UTIL,33.33%,35.5
Khris Middleton,F,33.33%,14.25
KJ Martin,SF,33.33%,34.75
Killian Hayes,PG,33.33%,16.5
Keita Bates-Diop,SF,33.33%,30.25
Grayson Allen,G,33.33%,31.25
Saddiq Bey,F,33.33%,33.75
Tari Eason,SF,33.33%,38.25
Caris LeVert,G,33.33%,20.5
