Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,T2,75.00%,51.0
De'Aaron Fox,T3,75.00%,38.5
Giannis Antetokounmpo,T1,50.00%,58.25
Kevin Porter Jr.,T4,50.00%,28.0
Zach Collins,T5,50.00%,39.0
Joel Embiid,T1,25.00%,56.0
James Harden,T1,25.00%,69.25
Trae Young,T2,25.00%,35.5
Darius Garland,T3,25.00%,40.75
Evan Mobley,T4,25.00%,48.75
Tyler Herro,T4,25.00%,34.5
Jarrett Allen,T5,25.00%,24.75
Jalen Green,T5,25.00%,19.0
Clint Capela,T6,25.00%,37.75
Jaden Ivey,T6,25.00%,16.0
Kyle Anderson,T6,25.00%,47.25
Jeremy Sochan,T6,25.00%,28.0
