Player,Roster Position,%Drafted,FPTS
Anthony Edwards,UTIL,78.26%,43.0
Domantas Sabonis,UTIL,65.22%,51.0
Kyle Anderson,UTIL,60.87%,47.25
Taurean Prince,UTIL,60.87%,10.0
Harrison Barnes,UTIL,56.52%,27.0
Keegan Murray,UTIL,56.52%,6.25
De'Aaron Fox,UTIL,47.83%,38.5
Rudy Gobert,UTIL,34.78%,35.5
Trey Lyles,UTIL,30.43%,30.0
Mike Conley,UTIL,17.39%,34.25
Malik Monk,UTIL,13.04%,16.75
Jaden McDaniels,UTIL,13.04%,31.5
Naz Reid,UTIL,13.04%,17.5
Nickeil Alexander-Walker,UTIL,8.70%,33.25
Jordan McLaughlin,UTIL,8.70%,8.25
Kevin Huerter,UTIL,4.35%,39.0
Terence Davis,UTIL,4.35%,5.25
