Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,95.65%,32.25
Keegan Murray,SF,82.61%,6.25
Joel Embiid,C,78.26%,56.0
Jaden McDaniels,SF,78.26%,31.5
Harrison Barnes,SF,73.91%,27.0
James Harden,PG,69.57%,69.25
De'Anthony Melton,SG,65.22%,9.0
Kyle Anderson,SF,60.87%,47.25
Tobias Harris,SF,30.43%,6.0
Kevin Huerter,SG,21.74%,39.0
Mike Conley,PG,17.39%,34.25
Domantas Sabonis,C,17.39%,51.0
Taurean Prince,F,13.04%,10.0
De'Aaron Fox,PG,13.04%,38.5
Anthony Edwards,SG,13.04%,43.0
Giannis Antetokounmpo,PF,8.70%,58.25
Trey Lyles,C,8.70%,30.0
Naz Reid,PF,8.70%,17.5
Brook Lopez,C,4.35%,42.5
Jrue Holiday,G,4.35%,54.0
Khris Middleton,SF,4.35%,14.25
Joe Ingles,PG,4.35%,12.25
Georges Niang,UTIL,4.35%,21.75
Rudy Gobert,UTIL,4.35%,35.5
Jevon Carter,PG,4.35%,11.25
Malik Monk,SG,4.35%,16.75
Davion Mitchell,PG,4.35%,3.5
Nickeil Alexander-Walker,G,4.35%,33.25
