Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,56.52%,28.0
Devonte' Graham,PG,52.17%,39.0
Tari Eason,SF,52.17%,38.25
Anthony Edwards,SG,39.13%,43.0
Marvin Bagley III,PF,39.13%,48.25
De'Aaron Fox,PG,34.78%,38.5
Tyrese Maxey,PG,34.78%,32.25
Jalen Green,PG,30.43%,19.0
Giannis Antetokounmpo,PF,26.09%,58.25
Hamidou Diallo,SF,26.09%,26.75
Joel Embiid,C,21.74%,56.0
Tre Jones,PG,21.74%,19.75
Caris LeVert,SG,21.74%,20.5
James Harden,PG,17.39%,69.25
Evan Mobley,PF,17.39%,48.75
Tyler Herro,SG,17.39%,34.5
Kyle Anderson,SF,17.39%,47.25
Killian Hayes,PG,17.39%,16.5
Domantas Sabonis,C,13.04%,51.0
Zach Collins,C,13.04%,39.0
Jabari Smith Jr.,PF,13.04%,17.0
James Wiseman,C,13.04%,19.75
Harrison Barnes,SF,13.04%,27.0
Keegan Murray,SF,13.04%,6.25
Charles Bassey,C,13.04%,28.5
Trae Young,PG,8.70%,35.5
Jimmy Butler,SF,8.70%,44.25
Bam Adebayo,C,8.70%,57.75
Alperen Sengun,C,8.70%,36.5
Rudy Gobert,C,8.70%,35.5
Clint Capela,C,8.70%,37.75
Jaden Ivey,PG,8.70%,16.0
Kevin Huerter,G,8.70%,39.0
Bogdan Bogdanovic,SG,8.70%,18.0
Nickeil Alexander-Walker,SG,8.70%,33.25
Donovan Mitchell,PG,4.35%,36.25
Jarrett Allen,UTIL,4.35%,24.75
Bobby Portis,PF,4.35%,13.75
Khris Middleton,SF,4.35%,14.25
Tobias Harris,SF,4.35%,6.0
Kevin Love,C,4.35%,16.25
Malik Monk,G,4.35%,16.75
De'Andre Hunter,UTIL,4.35%,25.75
John Collins,UTIL,4.35%,3.75
Saddiq Bey,PF,4.35%,33.75
Naz Reid,F,4.35%,17.5
Gabe Vincent,PG,4.35%,16.5
Blake Wesley,UTIL,4.35%,6.5
P.J. Tucker,UTIL,4.35%,8.0
Cedi Osman,UTIL,4.35%,15.0
Romeo Langford,SG,4.35%,7.25
Haywood Highsmith,F,4.35%,0.0
Josh Minott,G,4.35%,0.0
