Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,93.55%,51.0
Anthony Edwards,UTIL,67.74%,43.0
Keegan Murray,UTIL,67.74%,6.25
Taurean Prince,UTIL,61.29%,10.0
Harrison Barnes,UTIL,58.06%,27.0
Kyle Anderson,UTIL,54.84%,47.25
De'Aaron Fox,UTIL,51.61%,38.5
Naz Reid,UTIL,32.26%,17.5
Rudy Gobert,UTIL,29.03%,35.5
Jordan McLaughlin,UTIL,25.81%,8.25
Jaden McDaniels,UTIL,16.13%,31.5
Mike Conley,UTIL,12.90%,34.25
Nickeil Alexander-Walker,UTIL,9.68%,33.25
Malik Monk,UTIL,6.45%,16.75
Trey Lyles,UTIL,6.45%,30.0
Chimezie Metu,UTIL,3.23%,8.5
Neemias Queta,UTIL,3.23%,0.0
