Player,Roster Position,%Drafted,FPTS
Trae Young,UTIL,95.65%,35.5
Bam Adebayo,UTIL,91.30%,57.75
Tyler Herro,UTIL,86.96%,34.5
Jimmy Butler,UTIL,65.22%,44.25
Onyeka Okongwu,UTIL,56.52%,21.0
Dejounte Murray,UTIL,39.13%,23.75
Victor Oladipo,UTIL,39.13%,12.5
Jalen Johnson,UTIL,26.09%,13.0
Clint Capela,UTIL,17.39%,37.75
Cody Zeller,UTIL,17.39%,15.0
AJ Griffin,UTIL,17.39%,0.0
John Collins,UTIL,13.04%,3.75
De'Andre Hunter,UTIL,8.70%,25.75
Caleb Martin,UTIL,8.70%,24.25
Kevin Love,CPT,8.70%,24.38
Saddiq Bey,UTIL,4.35%,33.75
Max Strus,CPT,4.35%,18.38
