Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,90.00%,28.0
Devonte' Graham,PG,80.00%,39.0
Jalen Green,SG,70.00%,19.0
Joel Embiid,C,60.00%,56.0
Hamidou Diallo,SF,50.00%,26.75
Tari Eason,SF,50.00%,38.25
Evan Mobley,PF,40.00%,48.75
Zach Collins,C,40.00%,39.0
Tyler Herro,PG,30.00%,34.5
Tyrese Maxey,SG,30.00%,32.25
Harrison Barnes,SF,30.00%,27.0
De'Aaron Fox,PG,20.00%,38.5
Alperen Sengun,C,20.00%,36.5
Marvin Bagley III,PF,20.00%,48.25
Tre Jones,PG,20.00%,19.75
Keegan Murray,F,20.00%,6.25
James Harden,UTIL,10.00%,69.25
Trae Young,G,10.00%,35.5
Anthony Edwards,SF,10.00%,43.0
Bam Adebayo,UTIL,10.00%,57.75
Dejounte Murray,PG,10.00%,23.75
Kevin Porter Jr.,PG,10.00%,28.0
Jarrett Allen,C,10.00%,24.75
Bobby Portis,F,10.00%,13.75
Clint Capela,UTIL,10.00%,37.75
Jaden Ivey,SG,10.00%,16.0
Charles Bassey,C,10.00%,28.5
Caris LeVert,SG,10.00%,20.5
Taurean Prince,PF,10.00%,10.0
