Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,74.19%,51.0
Anthony Edwards,UTIL,67.74%,43.0
Keegan Murray,UTIL,61.29%,6.25
Kyle Anderson,UTIL,58.06%,47.25
De'Aaron Fox,UTIL,54.84%,38.5
Taurean Prince,UTIL,51.61%,10.0
Harrison Barnes,UTIL,48.39%,27.0
Rudy Gobert,UTIL,35.48%,35.5
Trey Lyles,UTIL,32.26%,30.0
Jaden McDaniels,UTIL,29.03%,31.5
Naz Reid,UTIL,25.81%,17.5
Mike Conley,UTIL,19.35%,34.25
Kevin Huerter,UTIL,16.13%,39.0
Jordan McLaughlin,UTIL,12.90%,8.25
Malik Monk,UTIL,6.45%,16.75
Terence Davis,UTIL,3.23%,5.25
Jaylen Nowell,UTIL,3.23%,0.0
