Player,Roster Position,%Drafted,FPTS
Trae Young,UTIL,95.00%,35.5
Tyler Herro,UTIL,90.00%,34.5
Bam Adebayo,UTIL,85.00%,57.75
Jimmy Butler,UTIL,80.00%,44.25
Onyeka Okongwu,UTIL,65.00%,21.0
Jalen Johnson,UTIL,40.00%,13.0
Victor Oladipo,UTIL,35.00%,12.5
Dejounte Murray,UTIL,20.00%,23.75
De'Andre Hunter,UTIL,15.00%,25.75
John Collins,UTIL,15.00%,3.75
Kevin Love,UTIL,10.00%,16.25
Gabe Vincent,UTIL,10.00%,16.5
Cody Zeller,UTIL,10.00%,15.0
Clint Capela,UTIL,5.00%,37.75
Max Strus,UTIL,5.00%,12.25
Bogdan Bogdanovic,UTIL,5.00%,18.0
Caleb Martin,UTIL,5.00%,24.25
Duncan Robinson,UTIL,5.00%,0.0
AJ Griffin,UTIL,5.00%,0.0
