Player,Roster Position,%Drafted,FPTS
Jalen Green,SG,75.00%,19.0
Devonte' Graham,PG,75.00%,39.0
De'Aaron Fox,PG,50.00%,38.5
Jeremy Sochan,PF,50.00%,28.0
Killian Hayes,PG,50.00%,16.5
Harrison Barnes,F,50.00%,27.0
Keegan Murray,SF,50.00%,6.25
Tari Eason,SF,50.00%,38.25
Giannis Antetokounmpo,PF,25.00%,58.25
Joel Embiid,C,25.00%,56.0
Trae Young,PG,25.00%,35.5
Anthony Edwards,G,25.00%,43.0
Bam Adebayo,C,25.00%,57.75
Jarrett Allen,UTIL,25.00%,24.75
Khris Middleton,F,25.00%,14.25
Clint Capela,C,25.00%,37.75
KJ Martin,UTIL,25.00%,34.75
Kyle Anderson,SF,25.00%,47.25
Tyrese Maxey,SG,25.00%,32.25
James Wiseman,C,25.00%,19.75
Jaden McDaniels,PF,25.00%,31.5
Bogdan Bogdanovic,UTIL,25.00%,18.0
