Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,86.67%,28.0
Devonte' Graham,PG,86.67%,39.0
Tari Eason,SF,60.00%,38.25
Zach Collins,C,46.67%,39.0
Jalen Green,PG,46.67%,19.0
Hamidou Diallo,SG,46.67%,26.75
Anthony Edwards,SF,40.00%,43.0
Tyrese Maxey,PG,33.33%,32.25
Marvin Bagley III,PF,33.33%,48.25
Joel Embiid,C,26.67%,56.0
De'Aaron Fox,PG,26.67%,38.5
Giannis Antetokounmpo,C,20.00%,58.25
Harrison Barnes,SF,20.00%,27.0
Keegan Murray,PF,20.00%,6.25
Domantas Sabonis,C,13.33%,51.0
James Harden,PG,13.33%,69.25
Donovan Mitchell,SG,13.33%,36.25
Rudy Gobert,C,13.33%,35.5
Jarrett Allen,C,13.33%,24.75
Tre Jones,G,13.33%,19.75
Naz Reid,F,13.33%,17.5
Caris LeVert,SG,13.33%,20.5
Trae Young,G,6.67%,35.5
Jimmy Butler,SF,6.67%,44.25
Darius Garland,PG,6.67%,40.75
Dejounte Murray,G,6.67%,23.75
Evan Mobley,PF,6.67%,48.75
Kevin Porter Jr.,G,6.67%,28.0
Bobby Portis,F,6.67%,13.75
Kyle Anderson,SF,6.67%,47.25
Tobias Harris,SF,6.67%,6.0
Kevin Love,UTIL,6.67%,16.25
Jaden McDaniels,F,6.67%,31.5
De'Anthony Melton,UTIL,6.67%,9.0
Blake Wesley,PG,6.67%,6.5
Cory Joseph,PG,6.67%,17.0
Dean Wade,PF,6.67%,8.25
