Player,Roster Position,%Drafted,FPTS
Trae Young,UTIL,78.26%,35.5
Bam Adebayo,UTIL,65.22%,57.75
Jimmy Butler,UTIL,60.87%,44.25
Tyler Herro,UTIL,60.87%,34.5
Dejounte Murray,UTIL,47.83%,23.75
John Collins,UTIL,30.43%,3.75
Caleb Martin,UTIL,26.09%,24.25
Onyeka Okongwu,UTIL,26.09%,21.0
De'Andre Hunter,UTIL,21.74%,25.75
Victor Oladipo,UTIL,21.74%,12.5
AJ Griffin,UTIL,21.74%,0.0
Gabe Vincent,UTIL,17.39%,16.5
Kevin Love,UTIL,13.04%,16.25
Saddiq Bey,UTIL,13.04%,33.75
Cody Zeller,UTIL,13.04%,15.0
Clint Capela,UTIL,8.70%,37.75
Bogdan Bogdanovic,UTIL,8.70%,18.0
Jalen Johnson,UTIL,8.70%,13.0
Max Strus,UTIL,4.35%,12.25
