Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,100.00%,32.25
James Harden,PG,77.78%,69.25
Kyle Anderson,SF,77.78%,47.25
Joel Embiid,C,77.78%,56.0
Keegan Murray,PF,77.78%,6.25
Harrison Barnes,SF,66.67%,27.0
Jaden McDaniels,SF,66.67%,31.5
De'Anthony Melton,SG,55.56%,9.0
Kevin Huerter,SG,33.33%,39.0
Tobias Harris,SF,22.22%,6.0
Trey Lyles,F,22.22%,30.0
Domantas Sabonis,C,22.22%,51.0
Malik Monk,SG,22.22%,16.75
Khris Middleton,F,11.11%,14.25
Taurean Prince,F,11.11%,10.0
Giannis Antetokounmpo,C,11.11%,58.25
Grayson Allen,G,11.11%,31.25
Jevon Carter,PG,11.11%,11.25
Naz Reid,PF,11.11%,17.5
Anthony Edwards,SF,11.11%,43.0
