Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,95.65%,39.0
Jeremy Sochan,PF,86.96%,28.0
Joel Embiid,C,78.26%,56.0
Tari Eason,SF,78.26%,38.25
Jalen Green,PG,73.91%,19.0
Marvin Bagley III,PF,43.48%,48.25
Hamidou Diallo,SG,39.13%,26.75
Tyrese Maxey,PG,34.78%,32.25
Evan Mobley,PF,30.43%,48.75
Zach Collins,C,30.43%,39.0
Tre Jones,PG,30.43%,19.75
James Harden,PG,17.39%,69.25
Anthony Edwards,G,17.39%,43.0
Bam Adebayo,C,17.39%,57.75
Tyler Herro,PG,13.04%,34.5
James Wiseman,C,13.04%,19.75
Giannis Antetokounmpo,PF,8.70%,58.25
Domantas Sabonis,UTIL,8.70%,51.0
Tobias Harris,PF,8.70%,6.0
Keegan Murray,PF,8.70%,6.25
Taurean Prince,F,8.70%,10.0
Jimmy Butler,F,4.35%,44.25
Alperen Sengun,C,4.35%,36.5
Kevin Porter Jr.,G,4.35%,28.0
Mike Conley,PG,4.35%,34.25
Kyle Anderson,SF,4.35%,47.25
Jabari Smith Jr.,PF,4.35%,17.0
Killian Hayes,PG,4.35%,16.5
Harrison Barnes,SF,4.35%,27.0
Bogdan Bogdanovic,UTIL,4.35%,18.0
John Collins,UTIL,4.35%,3.75
Jae Crowder,SF,4.35%,4.75
Josh Christopher,SG,4.35%,24.25
Romeo Langford,SG,4.35%,7.25
