Player,Roster Position,%Drafted,FPTS
De'Aaron Fox,T3,80.65%,38.5
Giannis Antetokounmpo,T1,74.19%,58.25
Domantas Sabonis,T2,67.74%,51.0
Jarrett Allen,T5,54.84%,24.75
Dejounte Murray,T4,45.16%,23.75
Clint Capela,T6,32.26%,37.75
Jalen Green,T5,29.03%,19.0
Jeremy Sochan,T6,29.03%,28.0
Evan Mobley,T4,25.81%,48.75
Joel Embiid,T1,22.58%,56.0
Kevin Porter Jr.,T4,19.35%,28.0
Jaden Ivey,T6,19.35%,16.0
Trae Young,T2,16.13%,35.5
Mike Conley,T6,12.90%,34.25
Donovan Mitchell,T2,9.68%,36.25
Bam Adebayo,T3,9.68%,57.75
Anthony Edwards,T2,6.45%,43.0
Darius Garland,T3,6.45%,40.75
Alperen Sengun,T4,6.45%,36.5
Khris Middleton,T5,6.45%,14.25
Zach Collins,T5,6.45%,39.0
James Harden,T1,3.23%,69.25
Jimmy Butler,T3,3.23%,44.25
Tyler Herro,T4,3.23%,34.5
Bobby Portis,T5,3.23%,13.75
KJ Martin,T6,3.23%,34.75
Jabari Smith Jr.,T6,3.23%,17.0
