Player,Roster Position,%Drafted,FPTS
Anthony Edwards,UTIL,100.00%,23.5
De'Aaron Fox,UTIL,80.00%,23.5
Domantas Sabonis,UTIL,60.00%,18.25
Harrison Barnes,UTIL,60.00%,11.0
Jaden McDaniels,UTIL,40.00%,18.5
Keegan Murray,UTIL,40.00%,4.25
Taurean Prince,UTIL,40.00%,-0.5
Naz Reid,CPT,40.00%,1.88
Rudy Gobert,UTIL,20.00%,22.0
Mike Conley,UTIL,20.00%,12.5
Kyle Anderson,UTIL,20.00%,21.75
Kevin Huerter,UTIL,20.00%,28.0
Terence Davis,UTIL,20.00%,0.0
Nickeil Alexander-Walker,UTIL,20.00%,17.25
Chimezie Metu,UTIL,20.00%,0.0
