Player,Roster Position,%Drafted,FPTS
Anthony Edwards,UTIL,92.31%,43.0
De'Aaron Fox,UTIL,69.23%,38.5
Domantas Sabonis,UTIL,61.54%,51.0
Taurean Prince,UTIL,61.54%,10.0
Naz Reid,UTIL,46.15%,17.5
Rudy Gobert,UTIL,38.46%,35.5
Keegan Murray,UTIL,38.46%,6.25
Jaden McDaniels,UTIL,30.77%,31.5
Mike Conley,UTIL,23.08%,34.25
Kyle Anderson,UTIL,23.08%,47.25
Malik Monk,UTIL,23.08%,16.75
Harrison Barnes,UTIL,23.08%,27.0
Kevin Huerter,UTIL,15.38%,39.0
Trey Lyles,UTIL,15.38%,30.0
Jordan McLaughlin,UTIL,15.38%,8.25
Davion Mitchell,UTIL,7.69%,3.5
Chimezie Metu,UTIL,7.69%,8.5
Luka Garza,UTIL,7.69%,0.0
