Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,100.00%,28.0
Anthony Edwards,SF,66.67%,43.0
Rudy Gobert,C,66.67%,35.5
Tyrese Maxey,SG,66.67%,32.25
Tre Jones,PG,66.67%,19.75
Devonte' Graham,SG,66.67%,39.0
Joel Embiid,UTIL,33.33%,56.0
James Harden,G,33.33%,69.25
Alperen Sengun,C,33.33%,36.5
Tyler Herro,SG,33.33%,34.5
Jalen Green,PG,33.33%,19.0
Tobias Harris,F,33.33%,6.0
Marvin Bagley III,C,33.33%,48.25
Harrison Barnes,F,33.33%,27.0
Keegan Murray,PF,33.33%,6.25
Hamidou Diallo,SF,33.33%,26.75
Saddiq Bey,SF,33.33%,33.75
