game_type_id,allow_late_swaps,description,enforce_selecting_unique_players,draft_type_name,name,has_salary_cap,salary_max,salary_min
37,True,"Our women's basketball game - create a 6-player lineup while staying under the $50,000 salary cap",True,SalaryCap,WNBA,True,50000.0,0.0
81,False,"Create your team from 1 game, while staying under the $50,000 salary cap",True,SalaryCap,Showdown Captain Mode,True,50000.0,0.0
335,False,Create a 3-player lineup of players you think will score the most points,True,SalaryCap,Single Stat - Points,True,50000.0,0.0
