draft_group_id,game_id
133176,6126966
133176,6126972
133176,6126978
133176,6126984
133176,6126990
133176,6126996
133176,6127068
133176,6127074
133176,6127452
133176,6127458
133176,6127476
133176,6127584
133176,6127644
133176,6127650
133176,6127776
133176,6128406
133176,6128484
133176,6128502
133176,6128652
133176,6128988
133176,6129216
133176,6129708
133176,6129720
133176,6129792
133176,6129852
133176,6130038
133176,6130098
133176,6130602
133176,6130614
133176,6130674
133176,6131016
133176,6131190
133176,6131208
133176,6131640
133176,6132156
133176,6132318
133176,6132336
133176,6132360
133176,6132726
133176,6132846
133176,6133308
133176,6133458
133178,6126966
133178,6126972
133178,6126978
133178,6126984
133178,6126990
133178,6126996
133178,6127068
133178,6127074
133178,6127452
133178,6127458
133178,6127476
133178,6127584
133178,6127644
133178,6127650
133178,6127776
133178,6128406
133178,6128484
133178,6128502
133178,6128652
133178,6128988
133178,6129216
133178,6129708
133178,6129720
133178,6129792
133178,6129852
133178,6130038
133178,6130098
133178,6130602
133178,6130614
133178,6130674
133178,6131016
133178,6131190
133178,6131208
133178,6131640
133178,6132156
133178,6132318
133178,6132336
133178,6132360
133178,6132726
133178,6132846
133178,6133308
133178,6133458
133712,6126966
133712,6126972
133713,6126966
133713,6126972
133714,6126966
133714,6126972
133715,6126966
133716,6126972
133717,6126972
133718,6126973
133721,6126966
133721,6126972
