draft_group_id,game_id
141523,6128076
141523,6130368
141524,6128076
141524,6130368
141525,6128076
141525,6130368
141526,6128076
141527,6130368
141528,6127512
141528,6128784
141528,6130548
141528,6131904
141528,6133248
141528,6133494
141529,6127512
141529,6128784
141529,6130548
141529,6131904
141529,6133248
141529,6133494
141530,6127512
141530,6128784
141530,6130548
141530,6131904
141530,6133248
141530,6133494
141531,6127512
141531,6128784
141531,6130548
141531,6131904
141531,6133248
141531,6133494
141532,6127512
141533,6131904
141533,6133494
141534,6133494
141535,6131904
141536,6131094
141536,6131454
141537,6131094
141537,6131454
141538,6131094
141539,6131094
141540,6131095
