draft_group_id,game_id
141162,6128094
141162,6131034
141162,6131868
141162,6132396
141162,6133470
141162,6134166
141163,6128094
141163,6131034
141163,6131868
141163,6132396
141163,6133470
141163,6134166
141164,6128094
141164,6131034
141164,6131868
141164,6132396
141164,6133470
141164,6134166
141165,6128094
141165,6131034
141165,6131868
141165,6132396
141165,6133470
141165,6134166
141166,6128094
141167,6133470
141168,6132396
141168,6134166
141169,6129660
141169,6131034
141169,6131868
141170,6129660
141170,6131034
141170,6131868
141171,6129660
141172,6129660
141173,6129661
141174,6132396
