draft_group_id,game_id
141044,6132378
141044,6133620
141045,6132378
141045,6133620
141046,6132378
141046,6133620
141047,6132378
141048,6133620
141049,6127866
141049,6129294
141049,6129642
141049,6130212
141050,6127866
141050,6129294
141050,6129642
141050,6130212
141051,6127866
141051,6129294
141051,6129642
141051,6130212
141054,6127866
141054,6129294
141054,6129642
141054,6130212
141055,6129294
141056,6127866
141057,6130212
141058,6129642
141058,6130212
141059,6129642
141059,6130212
141060,6129642
141061,6129642
141062,6129643
141076,6129078
141077,6129078
