draft_group_id,game_id
126031,6104472
126032,6104472
126032,6104482
126032,6104491
126032,6104497
126032,6104503
126032,6104509
126032,6104515
126033,6104472
126034,6104473
126147,6104463
126147,6104472
126147,6105322
126147,6105387
126148,6104463
126148,6104472
126148,6105322
126148,6105387
126149,6104463
126149,6104472
126149,6105322
126149,6105387
126150,6104463
126150,6104472
126150,6105322
126150,6105387
126151,6105387
126152,6104463
126153,6105322
126154,6104472
126154,6105322
126155,6104472
126155,6105322
