competition_id,are_depth_charts_available,are_starting_lineups_available,away_team,home_team,name,sport,starts_at,venue
5895288,True,False,UTA,BOS,UTA @ BOS,NBA,2023-03-31 23:30:00+00:00,TD Garden
5895534,True,False,CHI,CHA,CHI @ CHA,NBA,2023-03-31 23:00:00+00:00,Time Warner Cable Arena
5896380,True,False,NYK,CLE,NYK @ CLE,NBA,2023-03-31 23:30:00+00:00,Quicken Loans Arena
5897556,True,False,LAC,MEM,LAC @ MEM,NBA,2023-04-01 00:00:00+00:00,FedExForum
5898768,True,False,LAL,MIN,LAL @ MIN,NBA,2023-04-01 00:00:00+00:00,Target Center
5899248,True,False,ORL,WAS,ORL @ WAS,NBA,2023-03-31 23:00:00+00:00,Verizon Center
5899566,True,False,OKC,IND,OKC @ IND,NBA,2023-03-31 23:00:00+00:00,Bankers Life Fieldhouse
5899656,True,False,ATL,BKN,ATL @ BKN,NBA,2023-03-31 23:30:00+00:00,Barclays Center
5900106,True,False,SAS,GSW,SAS @ GSW,NBA,2023-04-01 02:00:00+00:00,Chase Center
5900412,True,False,DET,HOU,DET @ HOU,NBA,2023-04-01 00:00:00+00:00,Toyota Center
5900838,True,False,TOR,PHI,TOR @ PHI,NBA,2023-03-31 23:00:00+00:00,Wells Fargo Center
5903533,True,False,DEN,PHX,DEN @ PHX,NBA,2023-04-01 02:30:00+00:00,US Airways Center
5903534,True,False,DEN,PHX,DEN @ PHX,NBA,2023-04-01 03:30:00+00:00,US Airways Center
5903538,True,False,DEN,PHX,DEN @ PHX,NBA,2023-04-01 03:50:00+00:00,US Airways Center
5903995,True,False,SAC,POR,SAC @ POR,NBA,2023-04-01 02:00:00+00:00,Moda Center at the Rose Quarter
