competition_id,are_depth_charts_available,are_starting_lineups_available,away_team,home_team,name,sport,starts_at,venue
5927064,True,False,IND,WAS,IND @ WAS,NBA,2023-07-07 23:00:00+00:00,St. Elizabeth's East
5927065,True,False,ATL,CHI,ATL @ CHI,NBA,2023-07-08 00:00:00+00:00,Wintrust Arena
5927066,True,False,LAV,DAL,LAV @ DAL,NBA,2023-07-08 00:00:00+00:00,College Park Center
5927067,True,False,PHO,MIN,PHO @ MIN,NBA,2023-07-08 00:00:00+00:00,Target Center
5949412,True,False,NO,MIN,NO @ MIN,NBA,2023-07-07 20:30:00+00:00,Cox Pavilion
5949927,True,False,DEN,MIL,DEN @ MIL,NBA,2023-07-07 21:00:00+00:00,Thomas & Mack Center
5949928,True,False,CHI,TOR,CHI @ TOR,NBA,2023-07-07 22:30:00+00:00,Cox Pavilion
5949929,True,False,POR,HOU,POR @ HOU,NBA,2023-07-07 23:00:00+00:00,Thomas & Mack Center
5949930,True,False,CLE,BKN,CLE @ BKN,NBA,2023-07-08 00:30:00+00:00,Cox Pavilion
5949931,True,False,CHA,SA,CHA @ SA,NBA,2023-07-08 01:00:00+00:00,Thomas & Mack Center
5949932,True,False,SAC,ATL,SAC @ ATL,NBA,2023-07-08 02:30:00+00:00,Cox Pavilion
5949933,True,False,GS,LAL,GS @ LAL,NBA,2023-07-08 03:00:00+00:00,Thomas & Mack Center
