competition_id,are_depth_charts_available,are_starting_lineups_available,away_team,home_team,name,sport,starts_at,venue
5896212,True,True,DEN,CLE,DEN @ CLE,NBA,2023-02-24 00:00:00+00:00,Quicken Loans Arena
5896518,True,True,DET,ORL,DET @ ORL,NBA,2023-02-24 00:00:00+00:00,Amway Center
5899506,True,True,BOS,IND,BOS @ IND,NBA,2023-02-24 00:00:00+00:00,Bankers Life Fieldhouse
5896596,True,True,NOP,TOR,NOP @ TOR,NBA,2023-02-24 00:30:00+00:00,Air Canada Centre
5900694,True,True,MEM,PHI,MEM @ PHI,NBA,2023-02-24 00:30:00+00:00,Wells Fargo Center
5897232,True,True,SAS,DAL,SAS @ DAL,NBA,2023-02-24 01:30:00+00:00,American Airlines Center
5899806,True,True,OKC,UTA,OKC @ UTA,NBA,2023-02-24 02:00:00+00:00,EnergySolutions Arena
5902945,True,True,GSW,LAL,GSW @ LAL,NBA,2023-02-24 03:00:00+00:00,Staples Center
5903761,True,True,POR,SAC,POR @ SAC,NBA,2023-02-24 03:00:00+00:00,Golden 1 Center
5902946,True,False,GSW,LAL,GSW @ LAL,NBA,2023-02-24 04:16:00+00:00,Staples Center
5902950,True,False,GSW,LAL,GSW @ LAL,NBA,2023-02-24 04:49:00+00:00,Staples Center
