competition_id,are_depth_charts_available,are_starting_lineups_available,away_team,home_team,name,sport,starts_at,venue
5895132,True,False,ORL,CHI,ORL @ CHI,NBA,2023-02-14 01:00:00+00:00,United Center
5895366,True,False,ATL,CHA,ATL @ CHA,NBA,2023-02-14 00:00:00+00:00,Time Warner Cable Arena
5895744,True,False,DEN,MIA,DEN @ MIA,NBA,2023-02-14 00:30:00+00:00,AmericanAirlines Arena
5896176,True,False,SAS,CLE,SAS @ CLE,NBA,2023-02-14 00:00:00+00:00,Quicken Loans Arena
5896404,True,False,BKN,NYK,BKN @ NYK,NBA,2023-02-14 00:30:00+00:00,Madison Square Garden
5897184,True,False,NOP,OKC,NOP @ OKC,NBA,2023-02-14 01:00:00+00:00,Chesapeake Energy Arena
5897208,True,False,MIN,DAL,MIN @ DAL,NBA,2023-02-14 01:30:00+00:00,American Airlines Center
5899494,True,False,UTA,IND,UTA @ IND,NBA,2023-02-14 00:00:00+00:00,Bankers Life Fieldhouse
5900040,True,False,WAS,GSW,WAS @ GSW,NBA,2023-02-14 03:00:00+00:00,Chase Center
5900682,True,False,HOU,PHI,HOU @ PHI,NBA,2023-02-14 00:00:00+00:00,Wells Fargo Center
5903929,True,False,LAL,POR,LAL @ POR,NBA,2023-02-14 03:00:00+00:00,Moda Center at the Rose Quarter
5903930,True,False,LAL,POR,LAL @ POR,NBA,2023-02-14 04:00:00+00:00,Moda Center at the Rose Quarter
5903934,True,False,LAL,POR,LAL @ POR,NBA,2023-02-14 04:20:00+00:00,Moda Center at the Rose Quarter
