contest_type_id,roster_slot_id,count
81,475,5
81,476,1
70,458,1
70,459,1
70,460,1
70,461,1
70,462,1
70,464,1
70,463,1
70,465,1
188,464,2
188,633,2
188,465,2
188,636,1
73,415,1
73,416,1
73,417,1
73,418,1
73,419,1
73,420,1
193,465,3
193,636,1
112,570,5
112,569,1
113,572,5
113,571,1
