competition_id,are_depth_charts_available,are_starting_lineups_available,away_team,home_team,name,sport,starts_at,venue
6043315,True,False,MIL,ATL,MIL @ ATL,NBA,2025-03-05 00:30:00+00:00,Philips Arena
6044359,True,False,CLE,CHI,CLE @ CHI,NBA,2025-03-05 01:00:00+00:00,United Center
6046633,True,False,BKN,SAS,BKN @ SAS,NBA,2025-03-05 01:30:00+00:00,AT&T Center
6047347,True,False,HOU,IND,HOU @ IND,NBA,2025-03-05 00:00:00+00:00,Bankers Life Fieldhouse
6048283,True,False,TOR,ORL,TOR @ ORL,NBA,2025-03-05 00:00:00+00:00,Amway Center
6048643,True,False,NOP,LAL,NOP @ LAL,NBA,2025-03-05 03:30:00+00:00,Staples Center
6048644,True,False,NOP,LAL,NOP @ LAL,NBA,2025-03-05 04:30:00+00:00,Staples Center
6048991,True,False,LAC,PHX,LAC @ PHX,NBA,2025-03-05 03:00:00+00:00,US Airways Center
6049489,True,False,GSW,NYK,GSW @ NYK,NBA,2025-03-05 00:30:00+00:00,Madison Square Garden
6049927,True,False,PHI,MIN,PHI @ MIN,NBA,2025-03-05 01:00:00+00:00,Target Center
